05KT,small_airport,38.187091,-84.930110,880,,638398,266.16,-636964,-42764
05KY,small_airport,37.535750,-84.407303,1070,,608377,258.76,-596716,-118545
05MD,small_airport,39.244232,-76.198661,20,,133525,67.83,123655,50381
05MI,heliport,42.236433,-83.276421,621,,610871,310.49,-464573,396655
05NC,closed,34.008099,-78.291100,63,,536047,186.49,-60583,-532612
05NJ,heliport,40.713385,-74.032030,7,,374261,54.22,303643,218797
05NY,heliport,43.551998,-76.090202,445,,543962,13.24,124605,529498
05OH,small_airport,40.184513,-81.920564,968,,398648,294.06,-364011,162531
05OI,small_airport,41.288399,-81.962601,830,,460661,308.28,-361639,285353
05PA,heliport,39.954800,-75.178201,110,,247107,57.92,209372,131245
05PN,heliport,40.300098,-76.858002,485,,179612,21.51,65868,167099
05PS,small_airport,40.143075,-77.862210,1210,,150628,352.62,-19348,149380
05VA,small_airport,37.224201,-78.418602,445,,188187,201.65,-69424,-174914
06KY,closed,37.525902,-83.344901,751,,518843,255.94,-503310,-126005
06MD,heliport,39.291401,-76.546303,132,,108720,59.48,93657,55212
06N,small_airport,41.431999,-74.391602,523,,402069,42.27,270431,297534
06NC,small_airport,34.827499,-78.930298,163,,456505,195.03,-118361,-440894
06NJ,closed,39.950102,-74.999603,25,,260092,59.72,224606,131148
06NY,small_airport,42.836797,-76.437614,1100,,460032,12.26,97683,449541
06O1,heliport,41.114799,-80.656998,1020,,364123,315.93,-253242,261637
06OH,small_airport,41.509800,-80.591202,1160,,392292,321.12,-246263,305365
06OI,small_airport,39.734798,-84.382202,915,,589959,282.26,-576503,125283
06PA,small_airport,41.995792,-78.288152,1440,,359649,351.36,-54036,355566
06PN,heliport,40.382733,-76.772533,727,,190875,22.49,73028,176352
06PS,heliport,40.402302,-79.921303,760,,264803,313.01,-193643,180619
06VA,small_airport,38.249001,-78.855301,1160,,122590,240.40,-106595,-60546
07CT,closed,41.452900,-72.249603,430,,544489,55.51,448769,308342
07D,closed,43.064499,-82.723801,764,,638215,319.59,-413727,485951
07MD,small_airport,39.608299,-77.051903,700,,102963,29.00,49921,90051
07N,small_airport,40.016800,-77.003899,470,,145760,21.62,53715,135501
07NC,small_airport,34.833199,-80.751198,625,,520986,213.12,-284662,-436342
07NJ,heliport,40.793666,-73.994863,10,,381838,53.37,306410,227844
07NY,heliport,42.666401,-74.764999,1320,,493185,28.43,234799,433706
07OH,closed,39.937300,-81.683503,1025,,370277,291.24,-345124,134142
07PN,small_airport,40.998889,-78.125278,1690,,248073,350.44,-41187,244630
07VA,small_airport,36.819599,-78.783096,350,,242206,204.97,-102251,-219564
08CT,seaplane_base,41.896000,-73.093102,881,,516237,46.75,375996,353734
08G,heliport,40.110901,-81.526199,960,,364489,294.79,-330892,152848
08KY,small_airport,36.972599,-84.626099,820,,646125,253.86,-620663,-179594
08MA,small_airport,42.293999,-71.496201,360,,647755,51.22,504967,405703
08MD,heliport,39.388411,-76.610815,470,,109948,53.15,87984,65935
08N,small_airport,40.291801,-76.328796,550,,200137,33.60,110765,166691
08NC,small_airport,36.067600,-80.465599,750,,393380,220.32,-254532,-299936
08NJ,heliport,40.762600,-74.304001,429,,358607,51.47,280525,223394
08NR,small_airport,35.217541,-82.426000,2150,,582650,228.36,-435437,-387138
08NY,small_airport,41.368099,-74.505600,650,,390347,42.00,261180,290097
08OH,small_airport,41.291698,-80.563698,1230,,372696,318.95,-244777,281046
08PA,heliport,41.055358,-75.512039,1812,,309262,35.14,178018,252889
08PN,heliport,40.045898,-76.280800,310,,180878,39.58,115248,139409
08R,small_airport,41.489498,-71.620598,130,,592036,57.78,500845,315692
08VA,small_airport,37.554001,-79.749802,1000,,231023,233.82,-186464,-136391
09MA,small_airport,42.304298,-71.505898,403,,647755,51.10,504090,406793
09N,small_airport,41.832600,-73.875999,450,,463876,42.19,311511,343717
09NC,small_airport,35.329300,-79.029999,310,,405270,198.21,-126662,-384968
09NJ,heliport,40.653702,-74.686501,100,,325630,49.80,248719,210176
09NR,small_airport,35.650122,-79.650311,561,,393059,207.62,-182218,-348270
09NY,heliport,41.928902,-74.048897,254,,461804,39.99,296750,353839
09PA,small_airport,40.827000,-77.988098,1780,,227417,352.48,-29748,225463
09PN,heliport,40.562000,-75.142700,480,,289575,46.64,210524,198830
09TN,heliport,35.941700,-83.944000,924,,641547,242.28,-567900,-298449
09VA,small_airport,36.976501,-80.493896,2375,,322566,231.95,-254012,-198813
09VG,heliport,38.090801,-78.985001,1390,,141585,236.58,-118178,-77976
09W,heliport,38.868612,-77.008367,10,,54779,81.78,54217,7828
0C9,heliport,40.638199,-74.975700,320,,305753,47.21,224377,207700
0CT0,heliport,41.881232,-73.480699,640,,491146,44.46,344002,350553
0CT1,heliport,41.484798,-72.756203,350,,510829,52.71,406393,309501
0CT2,heliport,41.716999,-72.225899,330,,561834,53.04,448948,337791
